Rang,Modèle,Accuracy,Precision,Recall,F1-Score,Temps (s)
1,Logistic Regression,0.8692409182865687,0.8497737425228601,0.8692409182865687,0.8528558137931036,18.67096781730652
2,Naive Bayes,0.8251121470665845,0.8070269699445053,0.8251121470665845,0.7748303141650569,1.9325764179229736
3,Random Forest,0.7894361861201513,0.8319287821249981,0.7894361861201513,0.7045908822397802,64.02891063690186
